Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
17.1,94.7,4.2,51.2,85674,16499,9,6,290,1096239,519,571
10.9,113,4.6,85.4,68872,13874,29,20,923,1102325,519,571
15.6,89.6,4,57.1,83530,10936,7,6,305,1107043,519,571
16.5,95.4,4,53.1,61888,11724,9,7,296,1111605,519,571
15.2,97.4,5.3,54.2,93053,13540,10,7,359,1116979,519,571
15.1,93.3,4.3,56.2,109051,14255,7,5,337,1123053,519,571
15.3,114.8,5.2,56.5,38499,15811,35,17,757,1129161,519,571
48.3,138.6,4.2,14,30674,13186,48,17,1000,1134490,519,571
16.5,90.6,3.8,51.8,108015,12570,5,6,294,1139493,519,571
17.7,91.9,4.8,48.5,89550,16617,8,6,282,1145319,519,571
17.9,90.3,4.2,47.7,106138,15863,6,6,300,1151341,519,571
16.4,93.7,4.4,53.8,92686,14212,8,5,219,1157379,519,571
15.7,91.3,4.9,53.1,117738,15552,6,6,478,1163254,519,571
16.7,93.1,4,51.9,92455,16597,10,6,384,1169014,519,571
16.3,91.2,3.8,53.5,82164,17060,10,6,350,1175079,519,571
17.3,95.8,4.1,50.8,65634,15164,13,6,305,1181132,519,571
16.9,95,5.6,49.6,77821,15825,10,6,293,1187177,519,571
13.1,97.4,5.2,68.5,58965,15009,18,6,457,1193231,519,571
12.8,95.9,4.3,68.7,87477,13762,9,7,269,1199284,519,571
12.4,94.7,3.8,73.9,78243,14128,11,7,430,1205337,519,571
17.7,94.3,4.6,49.3,78458,15399,11,6,442,1211396,519,571
13.2,96.7,4.7,66.7,72896,15455,13,9,433,1217461,519,571
12.4,97.4,5.1,71.6,57076,15203,14,6,427,1223504,519,571
16.3,91.2,4.6,53.4,86597,15350,9,5,406,1229545,519,571
15,93,4.5,57.7,84362,14886,11,5,426,1235593,519,571
34.8,125.1,4.2,19.9,51172,15776,33,21,1257,1241582,519,572
16,94.9,5.1,52.5,86243,14933,10,6,380,1247553,519,572
17.2,96.7,5,49.3,71536,16307,12,5,383,1253617,519,572
17.7,94.8,4.3,49.3,92798,17187,9,8,376,1259697,519,572
17.2,100.6,4.2,50.4,80409,16233,10,8,269,1265771,519,572
15.9,94.9,4.9,56.5,74615,14664,11,6,356,1271817,519,572
17,95.3,4.9,51.5,119856,11430,6,12,487,1276941,519,572
14.9,91.7,4.8,60.1,84044,15358,8,6,310,1281589,519,572
17.9,93.6,4.7,48,90950,14556,9,6,323,1287163,519,572
17.1,95.1,3.8,50.4,82667,16159,9,6,332,1293196,519,573
15.1,97.5,4,59.2,93343,13799,11,6,303,1299251,519,574
15.3,131.2,5,56.2,31283,9529,31,19,1276,1304446,519,574
16.2,113.1,5.5,53.7,33447,7018,23,10,790,1307653,519,574
16.1,95.1,4,55.6,65753,7891,7,7,532,1310788,519,574
16.2,85.7,2.8,58.9,73053,8854,7,6,270,1313958,519,574
21.5,98,2.4,43.6,42130,10878,16,12,833,1317730,578,637
16.2,89.5,4.4,54.9,62630,9593,8,5,343,1322595,601,661
16.4,92,4.9,53.2,59310,10052,8,5,321,1326605,612,672
15.6,91.1,4.7,56,67521,9495,7,5,238,1330407,612,672
12.9,113.2,4,69.4,48464,8068,27,18,1011,1334008,612,672
14.6,91.3,4.5,61.2,62764,7664,7,6,411,1337200,612,672
16.2,91.4,4.1,54.9,75082,10610,6,6,299,1340772,612,672
17.5,90.8,4.4,50.2,72660,12147,8,6,325,1345044,612,672
16.6,92.1,4.1,53.2,84117,13435,8,5,315,1349744,612,672
16.1,128.4,4.7,55.5,38742,13097,36,19,1160,1355041,612,672
19.6,97.9,3.8,44.5,75158,13004,8,7,305,1359830,612,672
17,94.9,4.6,51.5,73044,17276,13,6,343,1365475,612,672
15.6,94.8,4.4,54.1,81629,14090,10,6,368,1371543,612,672
15.3,92.5,4.2,55.6,90135,17280,8,6,272,1377625,612,672
17.8,96,4.5,48.3,87572,16428,8,6,284,1383680,612,672
16.8,91.8,3.7,52.7,78234,15040,11,6,323,1389741,612,672
16.1,91.5,4.3,54.8,75483,11044,9,7,527,1394514,612,672
15.8,91.1,4.4,55.6,62643,13635,11,7,278,1398840,612,672
16.4,94.3,5,53.2,60745,14218,12,7,400,1403884,612,672
14.8,95.9,4.2,60.4,54912,15089,14,6,416,1409396,612,672
16.6,100,4.9,52,74801,13608,9,9,400,1415480,612,672
17.1,94.8,4.3,50.5,75040,16501,10,7,419,1421594,612,672
26.2,104,4.3,31,85544,15020,9,6,380,1427670,612,673
17.3,95.6,4.5,49.3,66447,17518,13,6,507,1433752,612,673
16.6,101.5,5.2,52.9,68392,15718,11,9,317,1439851,612,673
12,96.9,3.8,74.6,60951,7647,10,24,705,1444934,612,673
16.7,92.3,4.2,53.3,46662,9457,10,6,339,1448324,612,673
12.7,92.8,4.3,71.2,69509,9670,8,5,295,1452508,612,673
19.7,99.7,4,43.3,75123,14088,10,6,336,1457594,612,673
15.2,96,4.3,57.1,64094,15223,12,5,465,1463532,612,673
26,110.8,4.4,30.4,66100,14073,13,6,426,1469641,612,673
17,103.3,4.1,50.8,71842,15478,10,8,343,1475764,612,673
14.8,94.6,4.7,58.9,71394,14602,11,6,363,1481845,612,673
16.1,105.3,3,59.9,103299,7630,7,21,870,1487113,612,673
23.6,103.4,3.9,34.9,67691,7218,6,6,290,1490274,612,673
18.1,96.3,5.1,46.8,73448,9200,6,7,278,1493848,612,673
17.8,96.7,4.4,47.4,58453,12321,11,6,372,1498118,612,673
15.4,96.6,4.3,56.1,64577,12159,11,8,427,1502734,612,673
15.6,98.2,4.4,56.6,68793,13090,10,8,349,1507832,612,673
19.3,101.8,3.8,39.8,63200,15218,13,6,387,1513806,612,673
16.2,133.7,4.4,54.7,43062,17332,43,21,732,1519929,612,673
44.6,143.3,4.1,13.5,23375,11953,51,23,946,1524657,612,673
16.5,92.3,3.7,53.6,81610,10363,7,6,273,1529227,612,673
16.8,96,4.9,51.6,92087,12387,6,6,252,1533878,612,673
41.8,58.3,18,0,39514,53413,100,7,456,1539326,612,673
51.2,104.4,76.9,0,48239,25013,29,8,370,1543813,612,673
133.6,29.8,2.9,4.6,38314,23712,46,8,333,1546755,612,673
51.1,130.5,16.7,0,4702,21993,100,44,1197,1550096,612,673
