Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
90.2,4294995.5,16.2,0,150437,30068,7,2,73,4184848,12117,25060
89.9,4294991.5,11.5,0,158091,21406,8,1,129,4186458,12117,25060
90.9,4294987.5,2.2,8.6,169321,21706,17,16,676,4196542,12900,27115
69.8,4294986.5,2.1,9.4,240603,28352,11,9,632,4203346,13432,28434
137.5,4294985.5,2.3,5,179753,31420,24,15,385,4206950,13608,28829
90,4294987.5,2.3,8.4,225519,34496,33,9,405,4215212,14313,30629
82.9,4294988,2.3,7.8,189776,35812,27,15,463,4229930,15741,34175
78.3,4294988.5,5.9,0,211524,39145,15,9,220,4238541,16369,35683
90.2,4294996,16.4,0,159104,33130,6,2,83,4242637,16369,35683
90.4,4294993,11.9,0,166991,37778,13,2,90,4245171,16369,35683
91,4294994,13.7,0,128659,30538,11,2,126,4247621,16369,35683
90.1,4294992,12.1,0,158293,30353,7,1,89,4249933,16369,35683
90.2,4294993,12.3,0,185872,28835,6,1,61,4251966,16369,35683
89.6,4294992,10.6,0,202565,29491,5,1,75,4254132,16369,35683
90.3,4294992,12,0,163523,27802,7,1,101,4256261,16369,35683
90.4,4294993.5,13.3,0,145455,22872,6,1,81,4258194,16369,35683
88.5,4294991.5,12,0,157035,22996,6,1,70,4259960,16369,35683
66.2,4294992,12,0,153299,23830,9,2,91,4261827,16369,35683
90,4294992,11.6,0,171918,23596,6,2,72,4263663,16369,35683
90.3,4294992,12.2,0,142608,24268,11,1,89,4265414,16369,35683
90,4294991,11.4,0,152620,24558,8,1,94,4267303,16369,35683
89.9,4294991.5,11.5,0,148013,24867,12,1,92,4269264,16369,35683
89.3,4294992,11.6,0,206530,25715,8,1,81,4271244,16369,35683
90.4,4294991,11.6,0,153857,20191,7,1,84,4272989,16369,35683
88.6,4294991.5,11.8,0,157986,25736,9,1,81,4274892,16369,35683
68.7,4294991.5,12.5,0,191577,19412,4,2,90,4276496,16369,35683
