Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
57.5,76,45.6,0,25056,5486,25,10,1372,142749,41,45
54.7,96.5,71.2,0,92142,13915,12,9,344,144472,41,45
54.8,91.4,64.1,0,65103,18291,17,5,213,146452,41,45
54.3,92.2,65.6,0,122565,26954,14,5,173,149273,41,45
54.4,94.7,64.1,0,55292,38249,39,5,281,153146,41,45
54.1,93,65.6,0,116875,44378,20,5,291,157909,41,45
55.4,91,62.9,0,64102,30108,27,6,246,162352,41,45
53.8,93.1,66.4,0,117302,32667,20,5,238,166041,41,45
54.4,92.4,65.3,0,124591,43706,18,5,235,170634,41,45
54.3,92.3,64.5,0,127558,48892,26,5,225,176229,41,45
53.3,92.3,63.1,0,148204,53946,18,5,205,182264,41,45
53.2,91.5,64.1,0,150737,51072,19,5,202,188312,41,45
53.6,92.6,64.7,0,138156,54377,20,5,219,194346,41,45
52.2,96.4,67.8,0,101040,50762,21,5,226,200228,41,45
53.7,90.3,59.2,0,74348,22716,31,4,431,201583,41,45
52.9,92.6,70.2,0,119876,17938,9,5,127,203817,41,45
49.6,100.3,76,0,92254,23426,16,5,226,206533,41,45
48.4,107.6,82.2,0,139372,30161,11,5,180,210119,41,45
46.4,128.4,84.9,0,106906,33638,17,5,229,214345,41,45
46,131.6,87,0,147749,37578,12,5,179,219223,41,45
44.1,135.7,89.5,0,130228,40232,18,5,211,224651,41,45
63.3,58.4,37,0,27483,4747,5,5,408,228268,41,45
52.8,90.3,64.3,0,112053,38216,23,5,263,231536,41,45
53.3,94.6,67.6,0,122557,45827,25,5,202,236638,41,45
52.7,96.2,69.5,0,127704,49407,22,5,254,242357,41,45
52.4,94,67.7,0,151990,51887,18,5,224,248380,41,45
52.1,94.1,66.9,0,116850,50108,22,5,221,254280,41,45
54.4,93.4,66.2,0,124607,48519,21,4,224,260130,41,45
55.6,85.9,56.4,0,118517,52775,27,6,246,266130,41,45
63.4,66.5,45.3,0,34932,2458,8,5,328,268661,41,45
52.4,93.6,63.8,0,100571,41316,23,5,270,273140,41,45
53.9,81.8,55.9,0,124492,46598,17,4,224,278689,41,45
53.9,86.9,60.6,0,143925,44516,18,5,227,283399,41,45
53.9,86.3,61.3,0,124270,43994,15,5,220,288337,41,45
53.6,85.8,62.6,0,119023,45249,16,5,189,293602,41,45
55,82.7,62.1,0,62714,11169,12,6,229,296947,41,45
53.3,87.8,67.4,0,51023,4586,7,4,179,298015,41,45
54.3,92.1,67.1,0,142634,41120,15,5,254,300650,41,45
54.8,89.4,64.3,0,137627,49699,22,5,204,305996,41,45
39.1,44.7,3.1,15,125660,53995,42,5,234,312221,147,162
96.6,41.4,3.1,7.9,121498,49029,24,5,239,316237,147,162
95.6,36.3,2.4,8.3,108754,7153,13,5,327,332880,147,162
60.6,35.8,2.6,12.1,76455,25562,17,5,232,335433,147,162
55.1,86.9,63.2,0,54165,15305,26,5,245,337179,147,162
54.2,87.4,65.5,0,103032,16131,10,5,189,339292,147,162
52.6,89.4,65.6,0,151577,34718,14,5,176,341629,147,162
55,85.6,62.6,0,83713,36516,10,5,232,347108,147,162
54.5,93.9,66.7,0,107338,35288,22,4,267,349519,147,162
95.2,42.6,2.3,7.4,109242,49203,25,5,259,353723,151,168
