Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
19.8,121.8,3.2,47.1,29552,7439,27,67,920,6162541,5373,6717
101.4,121.5,2.3,6.9,30952,7372,20,66,633,6163930,5379,6735
13.7,128.4,2.8,70,28699,6704,25,70,812,6166892,5379,6735
150.3,123.7,3,3.6,28265,6697,23,67,775,6168393,5379,6735
76.8,121.1,2.4,10.1,30177,8028,20,66,737,6174112,5385,6742
15.1,143.2,2.9,59.4,8183,5866,86,67,665,6176789,5385,6742
223.6,135.4,2.8,1.7,11031,2594,43,85,2693,6177870,5396,6757
18.6,117.1,2.6,50.5,27626,3579,18,66,871,6181781,5396,6757
100.1,115.8,2.5,7.1,26554,4037,18,66,516,6182756,5396,6757
344,122.6,3.2,0,20178,4725,24,66,617,6183725,5396,6757
17.7,112.3,2.5,51.1,34997,4313,11,65,631,6185525,5400,6763
130.2,116.5,3.1,4.9,24236,4871,21,65,462,6186513,5400,6763
16,152.8,2.6,52.2,32352,3824,51,86,1821,6188466,5400,6763
95.1,139.7,2.8,7.8,15230,3628,51,74,1360,6189273,5400,6763
115.2,119.5,2.5,5.1,33246,2778,12,75,970,6190038,5400,6763
17.3,110.5,3.2,53.2,28308,5105,14,65,446,6191425,5400,6763
118.4,117.4,3,5.3,38956,6824,15,66,461,6192452,5400,6763
19.8,117.3,3.2,44.6,31798,9428,20,67,623,6195306,5400,6763
21.6,118.6,2.8,43.5,35413,12584,23,66,648,6200433,5400,6763
142.1,120.2,2.5,3.9,30131,14130,29,65,572,6202313,5400,6763
22.5,113.9,2.3,41.4,35854,14086,23,65,452,6205780,5400,6763
95.2,117.3,2.9,7.2,39443,14358,20,66,389,6207590,5400,6763
16,116.2,3,54.7,46080,10296,18,66,570,6211357,5407,6772
18.1,134.8,23,9,48610,7777,17,66,554,6216848,5424,6791
95.7,116.7,2.4,7.1,41890,7162,17,66,399,6218624,5424,6791
16.2,156.8,2.2,53.2,8056,8221,93,67,1568,6221965,5424,6791
144.9,137,2.9,3.1,11028,4056,45,84,1746,6222987,5424,6791
17,111.4,2.6,50.7,47356,6876,8,65,325,6225615,5424,6791
124.4,117.6,2.1,5.3,40717,9847,16,65,381,6226986,5424,6791
17.8,116.8,2.5,53.3,42978,12708,18,65,628,6230574,5424,6791
19.5,122.2,2.1,48.5,35533,19150,33,66,661,6244778,5424,6791
83.2,175.6,3.1,9,11330,18536,100,66,1109,6247364,5424,6791
15.5,136,5,51.6,5708,4581,61,86,1921,6249491,5424,6791
359.1,169.6,2.6,0,4024,3597,68,96,2489,6250134,5424,6791
19.5,116.4,2.2,44.9,16904,1708,13,67,1076,6251023,5424,6791
134.5,109.4,2.8,4.7,27049,2681,10,65,520,6251499,5424,6791
15.7,114.1,2.5,58,35558,7542,14,65,428,6253313,5424,6791
95,118.7,2.5,7.7,28627,10137,23,66,492,6254762,5424,6791
17.2,117.4,1.9,48.7,34199,14005,24,65,666,6258576,5424,6791
72.2,117.3,2.2,11.2,49401,14218,17,66,562,6260657,5424,6791
17,113.6,2.3,52.9,39249,11239,19,65,523,6263928,5424,6791
84.5,119.2,3.2,9,40989,13697,21,65,538,6265863,5424,6791
13.7,127.8,3.1,66.3,74076,5593,26,85,768,6269422,5424,6791
69.4,116.4,2.7,11.6,27607,3700,11,70,453,6270114,5424,6791
16.4,113.8,2.3,54.1,49550,8637,12,64,512,6272052,5424,6791
199.8,122.3,2.3,2.1,29037,9613,23,66,659,6273534,5424,6791
23.7,122.8,2.4,39.2,40687,12317,30,66,680,6276833,5424,6791
91.7,126.2,2.9,8.1,21408,13725,38,67,787,6278743,5424,6791
17.9,119.3,3,53,27757,12496,31,67,719,6282573,5424,6791
95.8,120.1,2.5,7.5,51303,13811,18,65,596,6284579,5424,6791
19.1,127.6,3.1,42.5,20261,14730,45,65,670,6289012,5424,6791
83.4,120.1,2.5,9.1,43181,14617,22,65,674,6291126,5424,6791
23.2,122.9,2.3,40.4,42240,12797,26,69,856,6295468,5424,6792
80.1,124.7,2.6,9.6,25851,12350,33,65,701,6297384,5424,6792
18,115.8,2.9,50.7,34078,12410,20,65,641,6301043,5424,6792
90.9,117.7,2.5,8.1,36168,11958,21,65,627,6302768,5424,6792
22.9,124.9,2.1,40.4,26734,13508,34,66,817,6306608,5424,6792
65,120.5,2.2,12.4,40863,14939,24,66,621,6308662,5424,6792
15.6,119.2,2.3,61.1,37861,18004,26,66,445,6313073,5424,6792
21.3,157.1,3.2,44.1,7824,3707,72,206,2102,6319111,5459,6849
17.8,117.6,2.6,53.2,51487,3144,8,68,483,6319995,5459,6849
17.4,111.8,3.2,28.9,48616,3200,10,66,516,6322605,5459,6849
124.2,114.6,3,5.1,67358,2865,3,66,242,6323465,5459,6849
20.5,114.8,2.9,46,30524,4241,12,66,642,6325030,5459,6849
105.1,117,2.8,5.8,42004,6719,10,65,408,6326082,5459,6849
17.3,114.4,2.5,51.2,64277,14290,15,66,465,6329541,5459,6849
100.4,121.2,2.9,7,43223,18063,26,67,675,6331872,5459,6849
27.7,134.7,2.9,33.2,27854,17163,51,66,876,6336727,5459,6849
52.7,125.4,2.7,15.8,34374,17001,36,66,939,6339191,5459,6849
45.6,248.2,86.3,0,61100,2998,10,665,2040,6345411,5496,6897
14.6,118.5,2.9,60.6,36414,1741,26,66,961,6347488,5496,6897
74.5,113.9,1.9,10.6,43811,1738,8,66,583,6348419,5496,6897
18,113.4,3.2,50.5,26441,1810,14,66,502,6350186,5496,6897
251.9,117.2,2.2,1.3,46708,2114,10,66,725,6350780,5496,6897
17,114.1,2.6,52.3,37035,3926,7,66,574,6352173,5496,6897
88.7,122.7,2.9,7.8,24091,6919,25,66,858,6353091,5496,6897
17.7,118.9,3.3,52.2,38995,9650,15,66,570,6355577,5496,6897
