Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
28.5,94.5,2.5,32,90879,12951,8,62,223,1807782,1114,1323
73.6,127.3,2.7,10.4,92526,10229,7,62,203,1810367,1114,1323
17.3,92,2.1,54.3,91880,12497,9,61,176,1813711,1114,1323
30.4,96.6,2.1,29.7,85089,10705,6,61,172,1816156,1114,1323
18.1,94.8,2.1,52.6,102065,11768,6,61,213,1818390,1114,1323
18.7,95.1,2.9,50.7,80095,11696,9,61,241,1820790,1114,1323
94.9,116.5,2.1,7.8,80820,12948,9,61,202,1823369,1114,1323
30.8,93.9,3.1,29.5,78094,16225,10,61,263,1827142,1114,1323
122.1,116.6,2.8,4.7,77902,11540,7,61,244,1829571,1114,1323
11.9,121,3.6,72.8,88391,8436,5,62,189,1833458,1114,1323
84.7,147.5,7.3,0,43110,8205,30,71,1009,1835364,1114,1323
132.5,127.5,3,3.8,83635,9204,7,62,411,1837661,1114,1323
27.3,96.3,3.4,33.2,86268,15109,12,62,239,1840228,1114,1323
29.9,102.7,2.8,30.2,66875,19811,16,61,271,1844141,1114,1323
26.3,97.8,2.5,33.9,86077,23742,15,61,354,1848706,1114,1323
16,159.4,3.5,48.6,20737,12691,69,68,1107,1865466,1114,1323
101.2,132.4,2.5,6.2,92922,14519,7,66,561,1868141,1114,1323
12.6,127.1,2.8,75.8,74941,16895,10,61,353,1878019,1114,1323
166.8,129,3.5,1.3,95078,12326,7,61,261,1881165,1114,1323
11.5,125.9,6.3,77,88447,14089,8,61,343,1886865,1114,1323
127.4,130.6,3.3,5,70699,12211,15,62,516,1889732,1114,1323
8,137.7,2.6,118.5,40969,7247,33,83,1003,1895503,1161,1372
100.7,135.2,7.2,0,77870,9753,8,61,502,1898078,1161,1372
12.2,121.3,2.8,75.7,83845,7691,7,61,293,1903128,1161,1372
117.5,126.7,3.2,1.6,91733,8343,6,61,286,1905538,1161,1372
10.2,124.8,2.8,95,59192,6055,15,62,398,1911993,1180,1393
86.4,129.5,2.5,8,85704,5928,5,61,243,1914113,1180,1393
15.6,128.8,3.6,60.6,43508,7926,40,80,1263,1918661,1180,1393
96.7,140,2.9,7.6,68708,5518,25,73,1588,1920992,1180,1393
39.3,123.1,16.2,0,54956,10083,10,61,317,1922629,1180,1393
12.5,129.2,9.6,47.4,81057,7259,6,61,251,1924250,1180,1393
95.1,125.9,2.8,7.3,87814,11173,7,61,233,1926262,1180,1393
11.5,123.6,2.5,74.7,71434,10904,10,61,298,1931701,1180,1393
124.1,127.3,3,4.4,71860,12292,7,61,287,1934215,1180,1393
11.4,126.3,2.4,83.8,82180,8469,8,65,808,1938613,1180,1393
100.2,128.7,3.8,6.4,89334,9944,6,62,289,1940918,1180,1393
11.4,122.4,3.4,84.2,76958,10546,10,60,331,1945518,1180,1393
152,128,2.4,3.2,71669,9847,10,60,300,1947947,1180,1393
11.1,128,2.6,84.4,48531,11398,24,62,723,1950659,1180,1393
51,129.4,3.1,15.8,86751,13536,10,61,438,1953188,1180,1393
12.6,124,3.2,75,82114,12184,10,61,282,1958525,1180,1393
102.7,127,2.8,5.9,110026,10378,5,61,243,1961162,1180,1393
11.6,120.5,2.7,74.9,94567,10008,5,61,232,1966215,1180,1393
31.1,113.6,3.3,26.2,33470,16071,45,66,1398,1969736,1180,1393
29,93.6,3.2,31.3,92357,12704,8,62,412,1973159,1180,1393
24.1,94.2,2.8,37.4,82414,17991,10,61,343,1976632,1188,1403
24.8,91.7,3.1,36.8,78318,13023,10,61,304,1981018,1188,1403
32.8,104.7,3.5,21.6,88831,13457,11,61,225,1984092,1188,1403
25,91.7,3,36.7,88487,14898,9,61,253,1987120,1188,1403
20.6,92.9,2.9,45.3,94983,12565,6,61,220,1990097,1188,1403
30.2,94.3,2.3,30.1,96787,17258,10,61,313,1993674,1188,1403
21.5,95.4,2.6,43.2,93290,16991,9,61,294,1997774,1188,1403
27.1,90.9,2.7,32.6,94420,10520,4,61,189,2001487,1188,1403
23.1,90.5,2.5,40.3,81654,9513,5,61,242,2003789,1188,1403
43.6,287.4,95.5,0,37865,14417,79,71,1415,2006450,1188,1403
31.2,102.3,3.6,29,53834,13326,24,61,478,2008840,1188,1403
30.9,100.3,3.2,29.2,92546,20567,12,61,259,2011861,1188,1403
16,110.6,2.8,58.8,73850,22842,16,61,237,2016398,1188,1403
21,97.3,3.2,44.1,94391,22557,12,61,307,2022037,1188,1403
35.2,97.4,2.5,25.6,74099,11717,9,61,228,2025516,1188,1403
28.9,91.4,2.7,31.6,93560,7292,3,61,219,2027796,1188,1403
29.3,94.6,2.2,30.6,83698,14525,11,61,325,2031195,1188,1403
21.1,108.5,2.9,44.3,75114,18211,29,76,966,2035328,1188,1403
26.5,95.8,3.3,34.2,102563,13479,9,62,306,2039285,1188,1403
13.5,94.2,2.6,70.2,95854,13220,7,62,244,2042855,1188,1403
28.2,93.4,2.5,32.1,87451,15607,8,61,255,2049280,1188,1403
200.6,116.6,3.1,1.1,70609,16370,11,61,230,2052119,1188,1403
33.2,90.7,2.5,26.8,95503,10014,5,61,155,2054573,1188,1403
98.3,129.6,6.1,0,108769,10069,5,61,204,2056698,1188,1403
29.4,95.2,2.7,30.8,117786,13812,5,61,273,2061379,1188,1403
109.8,123,3.4,5.9,80270,12692,9,61,276,2064517,1188,1403
15.9,121.6,3.5,50.5,27034,13817,71,62,1334,2067652,1188,1403
8.6,138.5,2.6,109.2,58328,6419,32,84,1362,2069926,1188,1403
17.7,107.2,2.4,51.6,91564,10528,9,75,875,2072029,1188,1403
12.3,119.3,2.6,70.5,64781,8259,6,62,228,2075766,1188,1403
149.8,128.3,2.7,2.7,85101,11508,7,61,287,2077941,1188,1403
28.4,92.2,2.4,31.9,100315,12140,6,60,236,2082658,1188,1403
34,110.2,5.2,19.8,83145,13394,8,61,326,2085784,1188,1403
32.2,98.2,2.8,27.2,81911,20944,14,61,244,2089199,1188,1403
11.9,135.1,18.1,45.4,111797,10833,4,61,259,2097253,1188,1403
90.6,139.1,10.9,0,75730,10544,10,60,296,2099574,1188,1403
32.7,102.4,3.6,20.4,95414,16980,7,61,238,2102053,1188,1403
36.2,109,2.5,24.3,103896,28156,13,61,280,2107372,1188,1403
12,122.8,2.7,67.4,82040,10037,11,61,329,2110461,1221,1445
120.3,127,2.3,5,97865,8011,9,61,291,2113521,1226,1457
95.1,128.2,3.5,7.1,71122,10610,16,61,352,2116595,1226,1457
105.5,124.6,2.4,6.5,95653,7135,6,62,266,2127149,1238,1479
24.7,94.2,2.4,34.3,73116,9451,10,61,332,2129680,1249,1490
105.5,132.2,10.5,5.9,73410,5175,8,61,243,2132045,1249,1490
115.8,126.9,2.3,5.7,104614,5784,5,61,159,2134981,1249,1490
29.4,95,2.6,31.2,87648,13205,8,61,177,2137959,1249,1490
11.6,122,3.3,72.1,85726,13393,8,60,213,2143352,1249,1490
243.1,161.2,4.6,0,51712,12427,53,61,792,2146005,1249,1490
11.4,138.4,16,48.9,102470,14597,6,72,630,2151632,1249,1490
23.1,96.2,2.7,39.6,91576,15955,9,62,294,2154991,1249,1490
29.3,93.4,2.5,31.2,83322,13188,7,61,232,2158492,1249,1490
30.2,93.4,2.9,30.2,77428,11622,7,61,202,2161306,1249,1490
158.7,123.4,4.3,3.5,107032,13767,7,61,205,2163961,1249,1490
11.9,128.4,9.9,72.9,92691,11856,6,61,229,2168695,1249,1490
30.5,98.3,2.9,29.4,86141,17768,13,61,279,2173885,1249,1490
11.4,119.3,2.3,80.5,83914,10852,7,61,256,2177096,1249,1490
