Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
90.3,4294988.5,13.5,0,103342,8053,4,2,71,134342,439,493
89.9,4294986.5,11.9,0,134772,8115,4,1,67,135134,439,493
90.7,4294988,13.9,0,76771,5961,4,1,85,135881,439,493
91.7,4294986.5,11.7,0,92620,4693,5,1,96,136489,439,493
68,4294986.5,11.9,0,102382,8822,4,1,75,137416,439,493
90.1,4294987.5,11.3,0,145090,19539,8,1,68,138956,439,493
90,4294987.5,12.5,0,139624,19047,6,1,64,140441,439,493
91.9,4294986.5,11.6,0,159815,16610,4,3,60,141759,439,493
89.4,4294987,11.4,0,165709,16933,5,3,55,143323,439,493
90.1,4294986.5,10.8,0,100187,12838,5,2,58,144662,439,493
90.6,4294987.5,11.9,0,101405,14626,5,1,66,145939,439,493
89.7,4294986.5,11.9,0,104003,9796,4,2,53,147054,439,493
90.7,4294988,13.3,0,82145,6583,4,2,64,147820,439,493
89.7,4294986.5,11.9,0,79719,6929,4,1,63,148569,439,493
67.3,4294986.5,11.5,0,112167,9910,5,1,93,149510,439,493
89.9,4294987.5,11.8,0,134014,17241,4,1,62,150871,439,493
90.1,4294987.5,11.8,0,116012,15237,5,1,47,152227,439,493
90.6,4294987.5,12.3,0,151933,14044,4,1,69,153452,439,493
90.9,4294986.5,11.2,0,109180,14322,5,2,69,154687,439,493
90.1,4294988.5,12.1,0,161999,21624,8,2,76,156147,439,493
90.2,4294987.5,11.7,0,195610,27523,10,1,72,158207,439,493
90,4294988.5,12.2,0,206537,29642,10,1,59,160369,439,493
90.2,4294987.5,11.9,0,170606,18026,5,1,65,161940,439,493
90.5,4294989.5,15.2,0,106926,7368,5,2,89,162863,439,493
89,4294986.5,12.3,0,87278,6461,4,2,79,163632,439,493
90.2,4294984.5,10.5,0,99086,6181,5,1,85,164194,439,493
90.2,4294987.5,12,0,102438,8572,5,1,68,164978,439,493
89.8,4294987.5,11.8,0,85813,6287,5,1,73,165749,439,493
90.1,4294987.5,12.1,0,86859,5821,4,1,67,166447,439,493
89.5,4294987.5,12.4,0,133753,12666,5,1,53,167533,439,493
89.9,4294987.5,11.4,0,178372,17730,7,1,67,168908,439,493
90.1,4294989.5,13.6,0,176675,31724,11,2,80,171147,439,493
88.4,4294987.5,12.1,0,201971,26061,6,2,61,173431,439,493
90,4294987.5,12.1,0,164619,18854,5,1,72,175003,439,493
89.7,4294990,15,0,189605,26252,9,1,66,176967,439,493
88.9,4294987.5,11.8,0,180694,17895,5,1,59,178535,439,493
90.3,4294987.5,11.6,0,140720,20793,10,1,71,180140,439,493
90.1,4294985.5,11.2,0,49188,2326,4,2,117,180766,439,493
89.7,4294985.5,11,0,51205,1753,5,1,118,181172,439,493
89.5,4294987.5,12,0,97841,6224,4,1,79,181879,439,493
89.8,4294987.5,12.2,0,103115,6479,4,2,69,182613,439,493
90.1,4294986.5,11.8,0,71369,5200,4,1,87,183317,439,493
90.2,4294986.5,11.4,0,115923,8313,4,2,92,184074,439,493
90.3,4294987.5,12.3,0,118991,9688,4,2,76,185109,439,493
90.1,4294990,15.6,0,120096,9281,4,1,68,186036,439,493
90,4294987.5,12,0,94225,8374,4,1,76,186942,439,493
90.2,4294989.5,14.2,0,118230,9869,10,1,75,187826,439,493
90.3,4294987.5,12.1,0,104387,9738,6,1,73,188816,439,493
90.1,4294990,15,0,104001,9879,5,1,56,189742,439,493
89.6,4294987.5,11.8,0,115076,11396,4,1,58,190819,439,493
90.6,4294987.5,11.8,0,100826,8877,4,1,107,191698,439,493
89.9,4294986.5,10.9,0,109547,8400,4,1,64,192561,439,493
90.8,4294987.5,11.9,0,100699,7990,4,1,61,193438,439,493
90.3,4294986.5,11.1,0,118389,10024,4,1,84,194344,439,493
89.9,4294987.5,12.3,0,112575,12419,4,1,68,195386,439,493
91,4294987.5,12,0,122741,10694,5,1,90,196399,439,493
90.1,4294988.5,12.2,0,163942,26685,4,2,65,198059,439,493
89.6,4294988.5,12.1,0,151988,22864,6,2,88,199852,439,493
89.8,4294987.5,11.9,0,140590,19826,4,1,72,201504,439,493
89.7,4294992,16.7,0,142798,16255,6,2,86,202851,439,493
90.1,4294987.5,11.6,0,112969,14115,5,2,54,204168,439,493
89.9,4294989.5,13.1,0,145476,13677,6,2,66,205312,439,493
90.3,4294987.5,11.8,0,98275,10736,10,2,87,206380,439,493
