Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
41:35.9,18,55,4.5,47.4,112098,24879,14,5,261,911906,165,191
41:37.6,19.9,55,4.3,42.9,122757,22501,9,4,218,915988,165,191
41:39.3,14.7,63.7,3.1,59.3,109015,21868,9,4,277,919571,165,191
41:41.1,15.6,69.1,7.5,36.3,108051,23679,11,5,270,923615,165,191
41:42.7,19,52.8,3,50,143228,25736,9,5,231,927687,165,191
41:44.4,19.4,53.2,3.6,43.4,123060,25450,9,5,212,931796,165,191
41:46.0,19.9,54.4,4,41.5,106490,25934,12,5,257,935878,165,191
41:47.6,14.7,56.4,6,56.1,105870,24707,12,4,253,940046,165,191
42:00.5,20.1,51.5,3.2,46.4,111434,20920,9,5,228,969174,165,191
42:02.1,20.8,54.3,5.6,39.7,133600,25316,8,5,226,972636,165,191
42:03.7,20.8,53,3.8,45.1,114782,27146,11,5,250,976621,165,191
42:05.3,17.4,55.9,3,53.7,115463,25978,12,5,257,980949,165,191
42:07.0,26,65.8,3.8,29.7,66475,21288,31,5,410,984778,165,191
42:18.8,76.6,74.6,8.6,9.9,119944,19244,9,5,261,1013508,180,209
42:20.6,17.8,60.4,8.2,51.8,137646,28530,9,6,223,1017718,180,209
42:22.2,46.3,100.3,11.7,9.9,32466,22926,72,19,1044,1022228,180,209
42:23.9,18.8,74,4.5,43.8,54927,23933,40,17,891,1026305,180,209
42:25.5,19.1,56.7,3.3,49.3,121262,26053,11,5,351,1030351,180,209
42:27.2,14,56.4,4.2,62.2,140593,28432,10,5,223,1034766,180,209
42:28.9,19.5,58.6,3.6,47.8,95677,27443,15,5,283,1039564,199,230
42:30.5,18.9,58.1,5.3,44.6,136166,27131,9,6,254,1043977,199,230
42:34.8,15.9,56.6,2.9,60.6,77248,24757,17,5,296,1052420,204,235
42:36.5,19.7,56.9,3.2,47.4,95668,29208,15,7,303,1056503,204,235
42:38.1,20,59.1,5.1,40,94145,26498,20,5,308,1061833,240,275
42:39.8,19.4,56.2,4.9,42.6,111896,25522,10,6,226,1066637,240,275
42:43.2,43.2,193.6,135.4,0,48923,31508,62,9,282,1075669,240,276
42:44.4,53.7,91,69.5,0,110127,49799,26,7,298,1080786,240,276
42:45.6,54,91.4,66.4,0,112889,50087,24,6,242,1086402,240,276
42:46.8,53.7,92.5,65.8,0,125204,49826,22,4,215,1092104,240,276
42:48.5,13.6,64.4,2.4,71.2,134182,22387,8,5,246,1096152,240,276
42:50.2,18.6,54.6,3.1,51.1,136181,26698,10,5,249,1100394,240,276
42:51.9,21.8,58.3,4.5,37.9,101196,19162,10,4,292,1104146,240,276
42:53.6,100,68.6,2.9,7.1,115944,15902,11,5,267,1106870,240,276
