Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
20.7,107.3,1.8,41.1,64377,8117,12,66,390,5367120,4382,5328
95.3,113.8,2.2,7.5,32328,11089,23,66,479,5368477,4382,5328
21.6,112,2.8,41.9,36546,14344,27,65,622,5371686,4382,5328
151,116.2,2,3.4,33304,18366,38,67,629,5373629,4382,5328
38.1,115.3,2.5,23.6,29794,21069,45,66,702,5377700,4382,5328
153.7,118.1,2.1,3.7,26391,21575,59,66,707,5379953,4382,5328
26.9,119.8,2.3,34.5,18575,19591,63,67,637,5384283,4382,5328
58.5,115.8,2.5,14.3,32498,12877,34,66,710,5385822,4382,5328
20.6,113.5,3.6,45.8,32453,12974,27,67,665,5388778,4382,5328
117.6,115.7,3,5.7,30946,13123,35,68,845,5390307,4382,5328
34.8,116,3.4,16.3,19523,13667,54,66,761,5393347,4382,5328
53.8,111.7,2.5,15.6,30882,16132,38,65,682,5395085,4382,5328
24.6,112.4,3,37.8,26841,9446,38,66,826,5398493,4410,5358
48.8,157.6,29.4,0,12910,5903,78,83,2125,5401635,4435,5406
53,122.2,38.8,0,34839,5244,21,70,586,5403113,4435,5406
28.4,102.3,2.5,32.5,34989,5924,17,65,503,5404208,4435,5406
24.4,102.3,3.2,38.3,46300,5824,20,66,527,5405348,4440,5417
126.3,118.5,3,0,22386,6460,31,66,848,5407477,4440,5417
19.6,111.8,3.8,47.9,38352,6104,13,68,471,5409538,4457,5442
19.9,108,2.6,43,53414,5306,7,65,438,5410459,4457,5442
144.2,112.9,2.6,4.2,23299,5378,22,66,781,5411380,4457,5445
25.1,109.9,2.5,37.2,40313,4798,15,67,476,5412931,4482,5477
118,111.5,2.5,5.7,38172,5056,13,65,480,5413720,4482,5477
160.3,157.5,2.8,0,10155,3848,100,81,2949,5415209,4482,5477
21,109,2.6,43.2,44684,4922,8,69,686,5417301,4482,5477
208.4,117.9,3.1,1.5,18364,6138,31,66,890,5418116,4482,5477
21.5,109.5,2.6,41.6,32325,4818,10,66,221,5421568,4521,5527
79.2,107,2.1,9.9,34152,5075,14,66,408,5422422,4521,5527
27.7,103,2.4,33.4,51394,6556,11,66,353,5424213,4521,5527
117.6,105.2,2.9,5.6,56110,7602,9,66,398,5425208,4521,5527
24.7,105.2,2.9,36.2,42510,12420,19,66,537,5427469,4521,5527
201.8,111.7,3.1,1.6,39355,16075,25,66,478,5429096,4521,5527
55.1,136.6,30.4,0,29288,8555,71,90,2364,5432528,4521,5527
55,135.5,48.9,0,21459,9213,84,79,965,5433763,4521,5527
55.2,122.2,34.9,0,45968,9063,17,66,403,5435011,4521,5527
55.6,123.2,37.5,0,46814,14987,21,65,319,5436620,4521,5527
55.1,128.2,40.3,0,50658,24111,28,65,379,5439092,4521,5527
28,106.3,3.6,33,59830,12166,16,67,375,5441494,4588,5600
22.5,106.8,2.9,41.7,40653,12599,30,66,397,5443251,4588,5600
22.2,105.3,2.7,42,50247,11799,19,66,280,5445001,4588,5600
26.5,106.4,3,34,63605,12165,16,67,343,5448561,4588,5600
23.6,106.8,2.9,21.2,42908,14114,22,65,370,5450353,4588,5600
121.2,107.3,2.4,5.4,74910,14896,11,67,347,5452064,4588,5600
104.9,109.2,2.3,6.8,49020,15801,21,66,328,5453867,4588,5600
24.3,112.5,2.5,36,33817,20659,35,65,578,5457926,4588,5600
53,110.9,2.1,15.6,47033,19337,26,68,644,5460167,4588,5600
25.5,111.5,2.4,36.3,35552,20060,32,67,494,5464239,4588,5600
68.5,141.8,2.7,11.5,16182,20992,100,66,881,5466558,4588,5600
326.9,138.5,3,0,40395,3191,66,169,2296,5467848,4634,5673
99.3,105.7,2.6,7.4,42747,2974,10,72,582,5468622,4634,5673
32,107.2,3,28.4,33983,2865,18,66,408,5470255,4634,5673
109.2,103.5,2.9,6.4,50910,2704,10,65,372,5471085,4634,5673
26.4,102.1,2.7,33.3,32986,4553,11,65,478,5472612,4634,5673
79.2,106.7,2.1,9.6,38417,7160,26,66,397,5473415,4634,5673
24.4,110.8,2.8,38.1,34123,15525,30,65,459,5476301,4634,5673
126.1,111,2.6,5,32307,16241,34,66,440,5478103,4634,5673
24,110,2.8,38.6,41298,22149,30,66,527,5485393,4634,5673
57.2,115.5,30,0,37112,15294,22,67,514,5489342,4634,5673
56.4,116.4,30.5,0,45146,12990,17,65,369,5491123,4634,5673
50.9,141.2,38.5,0,41822,30376,45,67,633,5494083,4634,5673
55.1,125.7,33.9,0,31279,21966,42,67,459,5496599,4634,5673
53.4,126.3,35.6,0,42464,23646,35,66,459,5499460,4634,5673
21.1,112.4,3.1,44.7,36042,24511,41,67,552,5502390,4634,5673
56.4,217.4,69.7,0,40764,9373,55,73,2329,5506354,4653,5694
56.3,118,31.9,0,45912,4835,24,83,714,5507824,4658,5704
56.7,123,37,0,50787,4977,19,66,392,5509379,4658,5704
56.2,123.6,34.9,0,48673,4961,22,65,340,5510854,4658,5704
56.8,121.5,38.7,0,63063,4977,9,66,229,5512105,4658,5704
56.6,122.2,37.2,0,33995,7266,17,68,512,5513222,4658,5706
57.3,125.3,39.8,0,35587,9110,17,65,558,5514437,4658,5706
56.5,122.4,32.4,0,46599,18221,30,65,322,5516238,4658,5706
42.4,145.2,3.2,20.8,8353,14119,100,66,559,5517937,4658,5706
55.4,177,57,0,12855,8756,95,90,1889,5519461,4658,5706
56.5,124.8,37.6,0,34988,10649,21,70,350,5520849,4658,5706
56.6,123.8,37.6,0,50370,16835,22,66,354,5522729,4658,5706
56.5,129,37.9,0,39585,21622,39,67,529,5525008,4658,5706
55.4,131.7,33.7,0,31674,26363,65,66,817,5527776,4658,5706
55.1,125.4,33.4,0,47849,21480,39,67,739,5530479,4658,5706
56,124.7,38.7,0,41478,14539,28,66,461,5532341,4658,5706
55.9,128.2,4.3,0,11817,16310,100,66,572,5534310,4658,5706
57.3,116.5,23.5,0,96222,10338,17,94,786,5536130,4658,5706
17.8,110.6,3.2,53.3,38613,14687,30,66,555,5539759,4658,5706
94,110.9,2.2,7.8,40656,15068,26,66,481,5541391,4658,5706
19.3,99.8,3.1,44.7,58331,7816,37,71,2120,5543977,4672,5722
57.3,126.7,38,0,40657,8400,15,78,932,5545183,4672,5722
57.1,123.1,38.5,0,48471,8345,14,67,359,5546495,4672,5722
57.9,119.3,34.7,0,46456,7982,13,67,311,5547768,4672,5722
57,120.3,36.9,0,35497,10553,26,66,381,5549313,4672,5722
58.1,121.6,36.2,0,42429,10939,19,65,371,5550767,4672,5722
