Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
11.5,90.1,3.6,83.8,3513,837,54,43,2279,187105,81,269
16,85.9,3.7,54.9,8340,952,19,37,2227,187490,81,269
16.5,94.3,3.7,57.7,8735,1079,20,46,3151,187876,81,269
30.1,111.7,4.5,25.6,7515,977,39,35,3913,188260,81,269
17.6,87.3,3.3,54.1,5742,1080,22,34,2248,188645,81,269
16.2,95.6,4.4,53.6,3478,1025,36,36,3166,189033,81,269
13.9,89.6,5.1,63.9,11946,942,15,39,2680,189423,81,269
19.7,96.2,5.4,41.2,10065,1370,18,43,2157,189831,81,269
20.7,91.7,5.1,39,4749,983,25,33,2195,190217,81,269
19.9,89.3,4.3,46.7,6462,1103,18,37,2371,190601,81,269
15.5,90.1,5.1,56.3,5223,898,26,33,2170,190985,81,269
16.5,88.8,5.7,51,5951,908,23,37,3338,191367,81,269
16.2,90.4,5.6,53.3,7028,1022,18,36,2914,191753,81,269
16.3,91.3,4.5,53.5,4437,1050,30,32,3101,192147,81,269
19.4,93.6,5.8,40.6,3690,915,40,33,2978,192541,81,269
11.2,107.1,2.7,86.5,3982,1135,89,33,3144,192975,81,269
20.7,111.9,13.9,16.2,4055,1153,45,53,3966,193403,81,269
14.3,83.8,3.7,66.6,7499,965,22,35,2464,193803,81,269
22,84.7,5,35.6,5811,1226,24,39,2618,194188,81,269
18.4,96.5,5.3,45.4,6652,1088,23,44,2231,194571,81,269
54.8,134.3,7.7,7.6,1814,917,91,52,5559,194961,81,269
70.6,132,7,2,30948,543,33,49,5946,195262,81,269
30.2,117.4,3.6,29.5,18426,511,43,57,5953,195571,81,269
18.2,91.8,3.3,51.4,2936,553,39,43,3342,195861,81,269
16.3,88.4,5.8,50.1,4385,566,21,37,2906,196157,81,269
17.7,82,5.7,48.7,6576,560,17,35,3109,199869,81,269
17.1,88.6,4,55.3,3622,504,26,31,2722,200159,81,269
21,94.5,5.5,39.8,3857,522,36,36,3739,200449,81,269
15.7,86.1,3.3,59.8,4373,536,27,35,3343,200742,81,269
17.2,81.4,4.5,50.2,9679,594,9,33,2033,201034,81,269
14.1,83.2,5.5,59,3655,569,26,32,3223,201325,81,269
22,90.6,5,37.6,5121,1059,25,39,2520,212411,81,272
17.1,84.3,3.2,55.5,6448,959,26,33,2403,212795,81,272
73.2,110.6,3.4,10.1,6746,880,48,34,2921,213179,81,272
28.2,101.8,5.8,25.9,7601,945,33,31,2740,213563,81,272
22.2,89.3,5.8,37.3,10086,1107,22,40,3029,213948,81,272
21.8,95,3.4,42.6,3715,1274,48,31,3083,214339,81,272
14.9,89.9,5.7,57.2,8174,1129,17,36,2888,214750,81,272
48.8,989.3,83.3,0,15045,1160,22,118,9666,215141,81,273
25,155.5,19.9,1.8,9225,661,65,77,5794,215820,81,273
16.3,110.5,2.9,58.5,4550,692,34,45,4233,216176,81,273
18.3,105.9,5.8,42,3628,877,33,39,3181,216535,81,273
14.7,100.8,3.6,64.5,7805,976,16,40,3493,216921,81,273
23.3,101.1,6.3,33.3,5111,760,32,41,3788,217312,81,273
19.3,100.7,9.5,39.1,3116,897,31,43,2858,217676,81,273
18.3,106.3,7.7,45,3735,511,29,42,2802,217999,81,273
17.3,98.5,7.5,46.2,3729,448,25,38,2908,218291,81,273
18,104.3,6.5,46.1,6888,529,19,43,2488,218597,81,273
14.6,90.8,4.2,61.2,6182,685,18,38,2749,218899,81,273
16.4,96.5,9.7,45.6,8856,605,17,40,2123,219242,81,273
19.9,106.8,6.1,42.8,3507,565,41,36,2141,219563,81,273
13.9,119.2,4.1,66.3,2659,568,80,48,7023,219874,81,273
61.9,135.8,8.5,2,13621,662,74,56,6358,220168,81,273
18.6,87.5,3,50.3,5280,898,36,42,3304,221783,81,273
15.6,86.6,3.1,61.3,4832,737,40,36,3507,222139,81,273
17.4,85.1,3.2,53.7,5538,594,22,39,2922,222466,81,273
21.1,87.5,4.1,38,7229,608,16,39,2424,222767,81,273
23.9,94.8,5,33.5,3056,530,37,37,2021,223099,81,274
14.3,90.4,4,63.9,2835,623,70,39,3418,223414,81,274
14.6,103.9,4.2,63.2,4517,706,45,44,7829,223711,81,274
29.8,88.4,5.3,30.2,5521,653,27,54,4262,223998,81,274
21.8,81.6,3.4,42.8,5625,743,29,35,2811,224295,81,274
25.1,92.4,3.7,36.6,5565,711,31,36,3839,224597,81,274
20.2,94.7,3.9,46.2,8555,717,37,37,4137,224894,81,274
21.7,82.5,3.5,42.6,7639,619,21,38,3136,225190,81,275
22.6,87,3.7,40.8,8806,662,17,33,1847,225511,81,275
15.3,83.3,3.7,62.1,6756,539,16,33,2258,225830,81,275
16.7,80.9,3.7,56.9,9490,601,14,35,2305,226131,81,275
15,94,4.8,55.9,2520,648,42,36,3063,226497,81,275
14.4,91.2,5.5,59.4,5927,744,26,37,3645,226826,81,275
20.8,89.3,3.4,44.4,5255,663,26,37,1989,231709,81,275
16.3,85.1,4.6,55.6,4236,670,27,38,2705,232059,81,275
18.9,91.8,6.9,42.1,3355,538,36,35,2639,232358,81,275
17.3,83.9,3.4,54.4,6886,746,18,36,2080,232697,81,275
16.8,83.8,3.5,56.3,7290,638,18,33,2250,233039,81,275
18,86.6,3.1,52,7444,602,13,40,1850,233387,81,275
15.2,86.9,3.3,62.3,5289,1180,24,40,2448,233762,81,275
18.9,88.7,5.8,43.1,6932,590,15,34,1970,234073,81,275
17.8,87.2,3.1,51.5,8858,791,24,36,1899,234415,81,275
18.1,109.6,5,48.2,6179,1069,33,68,4137,234792,81,275
18.1,88.5,5.6,45.1,4029,696,25,49,3023,235169,81,275
11.6,85.1,4.3,82.2,11398,491,36,36,1912,235508,81,275
18.5,89.9,6.8,44,5139,642,22,36,2347,235843,81,275
18,98.3,4.5,48.8,4110,727,43,37,3043,236195,81,275
19.6,90.9,5.8,23.7,5097,677,22,39,2200,236545,81,275
18.8,87.3,5.7,42.8,4184,778,26,37,2404,236895,81,275
24.8,90.4,3.5,36.6,2125,700,59,35,3546,237226,81,275
17.6,89.1,2.9,51.9,4772,672,36,34,2858,237550,81,275
22.2,79.2,5.2,34.2,8240,706,23,32,2164,237872,81,275
22.9,75.1,2.9,40.5,5080,642,21,34,2308,238167,81,275
17.3,79.4,2.8,54.6,4837,791,26,35,2804,238521,81,275
37.3,158.5,15.1,1.5,9138,706,59,37,4016,238884,81,275
21.7,1059.8,2.9,43.4,5244,505,18,697,2611,239246,81,275
118.9,1584.9,2.5,5.1,2995,388,46,819,4318,239679,81,275
282.6,1630.4,2.5,0,8712,479,56,819,6726,240133,81,275
16.6,105.9,2.5,58,6854,634,15,56,3580,240572,81,275
20.9,95.7,5.8,38.1,7806,587,19,33,1976,241473,81,275
23.5,92.2,6.3,31.8,7185,497,16,32,1799,241766,81,275
21.9,91.1,6.9,33.9,5002,548,24,33,2015,242059,81,275
16.7,80.8,4.5,51.7,13387,566,11,32,2048,242363,81,275
15.5,81.9,6.1,54.5,6315,555,14,32,1991,242665,81,275
18,83.8,4.7,46.6,8049,1025,15,30,1710,242996,81,275
18.6,76.1,3.3,50.7,8972,1145,15,33,1561,243380,81,275
21.2,79.6,5.5,35.9,8304,1230,15,33,1861,243764,81,275
20.9,79.6,2.8,44.6,5306,1201,25,33,2367,244148,81,275
20.1,84.5,6.9,37,4916,1152,30,34,2416,244532,81,275
20.5,87.6,7.1,39.5,7609,1163,24,31,2657,244916,81,275
16.3,84.5,6.8,49.7,7418,1015,15,32,1726,245300,81,275
18.5,83.4,5.6,43.7,4774,1153,25,32,2146,245684,81,275
18.3,82.7,3.8,51.7,8464,1192,16,36,2150,246068,81,275
18.5,83.6,2.8,51.1,5942,1118,22,33,2219,246452,81,275
19.4,95.6,3.6,46.1,7917,1073,25,48,4028,246835,81,275
19.6,91.4,8.6,35.4,5684,1094,26,41,2979,247218,81,275
