Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
83.1,109.3,2.4,8.9,31750,15966,40,60,503,2552747,1461,1649
66.1,108.2,2.3,12.1,42031,20727,29,60,387,2555848,1461,1649
37.7,95.1,2.3,23.8,76284,29640,21,60,342,2564618,1461,1649
28,87.9,2.7,32.9,92466,21558,13,59,334,2569747,1472,1660
30,88,2.5,30.3,96584,24722,14,59,296,2575350,1472,1660
51.8,277.9,77.7,0,48912,39679,90,74,2115,2585798,1472,1660
53.5,262.3,23.6,0,84274,29939,26,60,2149,2590461,1472,1660
29.8,91.6,2.5,30.4,84814,27631,34,60,870,2594771,1472,1660
60.2,127.6,2.2,13.6,53689,16670,23,60,425,2599232,1472,1660
17.3,106.1,2.2,54.3,105111,12350,30,75,1520,2602365,1472,1660
30.9,91.4,2.4,29.4,44146,10695,17,61,496,2604806,1472,1660
24.3,88.9,2.2,37.6,49850,11662,13,60,403,2607575,1472,1660
30,92.1,2.7,30.5,65075,16593,17,60,347,2610753,1472,1660
68.4,127,2.8,11.6,65282,18348,18,60,363,2614575,1472,1660
77.2,109.1,2.1,9.9,63618,28193,30,60,509,2618237,1472,1660
24.8,91.4,2.5,36.7,73656,25201,17,59,434,2622555,1472,1660
98,100.8,2.3,7.4,69150,18608,20,60,532,2627098,1503,1693
362.3,124.3,2.5,0,49978,23044,28,60,372,2631370,1508,1700
18.7,96,2.7,50.6,86260,24902,16,60,309,2635687,1508,1700
28.2,95.1,2.2,32.3,65167,20374,20,59,346,2639497,1508,1700
92.2,103.4,2.2,7.9,72222,25295,20,59,387,2644244,1508,1700
17,155.7,2.2,44.8,38631,19274,57,80,1499,2653643,1508,1700
40.9,97.7,1.9,17.8,69640,15836,13,73,480,2656883,1508,1700
30.5,96.1,2.1,30.1,56445,17504,18,60,519,2659794,1508,1700
27,103.4,2.2,34.3,36851,24397,36,59,470,2663637,1508,1700
